"nba_year","nba_draft_Rk","nba_draft_Player","nba_draft_Pk","nba_draft_Tm","nba_draft_College","nba_draft_Yrs","nba_draft_ttl_G","nba_draft_ttl_MP","nba_draft_ttl_PTS","nba_draft_ttl_TRB","nba_draft_ttl_AST","nba_draft_FG","nba_draft__3P","nba_draft_FT","nba_draft_per_MP","nba_draft_per_PTS","nba_draft_per_TRB","nba_draft_per_AST","nba_draft_WS","nba_draft_WS48","nba_draft_BPM","nba_draft_VORP"
"1949","18","Jim Nolan","","PHW","Georgia Tech","1","5","","8","","4",".190","","","","1.6","","0.8","-0.2","","",""
"1949","19","Jack Coleman","","ROC","Louisville","9","633","16479","6721","5186","1749",".416","",".695","33.1","10.6","9.2","2.8","47.7",".107","",""
"1949","20","Johnny Orr","","STB","Beloit College","1","34","","92","","20",".339","",".857","","2.7","","0.6","-0.1","","",""
"1949","21","Jim Owens","","WSC","Baylor","","","","","","","","","","","","","","","","",""
"1949","22","Paul Gordon","","BLB","Notre Dame","1","4","","3","","3",".000","",".600","","0.8","","0.8","-0.1","","",""
"1949","23","Joe Mullaney","","BOS","Holy Cross","1","37","","30","","52",".129","",".800","","0.8","","1.4","-0.6","","",""
"1949","24","Dike Eddleman","","CHS","Illinois","4","267","3475","3224","915","551",".352","",".630","25.7","12.1","4.5","2.1","7.3","-.003","",""
"1949","25","Fred Schaus","","FTW","West Virginia","5","334","6637","4070","1609","961",".352","",".823","33.5","12.2","6.0","2.9","31.4",".105","",""
"1949","26","Mac Otten","","INO","Bowling Green","1","59","","142","","36",".329","",".494","","2.4","","0.6","0.3","","",""
"1949","27","Ernie Vandeweghe","","NYK","Colgate","6","224","3600","2135","834","548",".421","",".740","26.1","9.5","4.6","2.4","18.1",".162","",""
"1949","28","Nelson Bobb","","PHW","Temple","4","227","2478","1052","405","488",".350","",".612","21.2","4.6","2.4","2.1","6.0",".062","",""
"1949","29","Ed Leede","","PRO","Dartmouth College","2","121","","949","118","225",".334","",".719","","7.8","2.1","1.9","5.8","","",""
"1949","30","Jerry Nagel","","FTW","Loyola Chicago","1","14","","13","","18",".214","",".250","","0.9","","1.3","-0.1","","",""
"1949","31","Bob Evans","","INO","Butler","1","47","","142","","55",".280","",".682","","3.0","","1.2","-0.3","","",""
"1949","32","Warren Perkins","","PRO","Tulane","2","126","","767","319","257",".309","",".618","","6.1","4.8","2.0","3.1","","",""
"1949","33","Ray Corley","","PRO","Georgetown","3","102","65","442","82","174",".304","",".601","8.1","4.3","2.0","1.7","0.9","-.265","",""
